	M5D175	M5D364	M6D0	M6D1	M6D11	M6D124	M6D13	M6D141	M6D142	M6D143	M6D144	M6D145	M6D146	M6D147	M6D148	M6D149	M6D15	M6D150	M6D17	M6D175	M6D19	M6D2	M6D21	M6D25	M6D3	M6D364	M6D4	M6D45	M6D5	M6D6	M6D65	M6D7	M6D8	M6D9
ASV_1	4	330	956	495	325	959	665	539	492	178	295	363	317	390	267	250	820	765	520	3	823	1497	896	349	918	1283	3048	420	1915	967	1376	3128	533	933
ASV_2	4	486	448	196	313	1378	716	854	425	194	305	385	360	397	247	323	520	850	435	2	589	848	995	416	866	1727	2067	667	1662	893	2049	3982	577	836
ASV_3	2	300	568	582	491	866	347	347	336	145	304	313	259	318	212	294	756	462	266	0	658	2075	381	169	1629	0	3077	272	2022	830	499	1770	627	916
ASV_4	3	311	881	352	258	808	643	352	253	109	181	307	274	302	171	227	427	517	611	3	871	781	1578	296	474	710	1245	862	798	516	1770	3667	741	711
ASV_5	1	591	322	354	192	1054	438	805	441	144	216	397	269	454	286	388	308	998	340	2	541	694	438	454	392	1963	1159	763	1090	317	1731	2196	303	384
ASV_6	4	728	919	382	104	1525	227	665	545	207	389	554	487	596	346	494	237	934	266	5	419	514	609	586	248	1393	481	656	322	154	1027	1871	253	253
ASV_7	1	44	304	109	214	684	381	246	178	63	158	143	173	193	100	247	141	272	264	1	4	651	2	141	610	27	1175	315	764	408	714	1995	262	384
ASV_8	0	403	1	1	263	954	28	208	69	251	400	407	263	418	272	495	33	408	73	0	119	1	51	180	134	1741	69	452	451	352	493	100	808	411
ASV_9	0	277	153	179	86	519	222	418	208	73	128	159	121	212	127	167	174	492	168	1	252	352	215	222	184	968	559	344	508	155	834	1116	163	171
ASV_10	2	215	472	75	57	690	246	267	205	75	126	224	176	271	147	206	131	427	86	0	184	203	304	200	140	531	486	235	368	134	601	831	94	116
ASV_11	0	2	1	1	113	0	393	0	0	0	0	1	0	0	0	0	743	0	113	0	117	116	143	1	246	0	668	5	488	1157	7	2465	80	814
ASV_12	99	115	19	38	12	37	172	321	54	12	18	70	63	20	11	17	527	82	190	709	257	109	387	69	281	140	226	37	278	303	652	1585	13	445
ASV_13	1	101	101	59	0	5	0	17	34	4	2	5	2	6	5	3	0	18	0	0	0	278	0	0	751	46	952	5	31	17	50	2894	253	644
ASV_14	3	91	198	58	76	254	132	127	90	37	84	97	96	115	65	75	60	115	167	1	131	283	139	58	243	260	744	94	397	238	387	298	143	174
ASV_15	322	20	94	5	0	97	0	140	130	14	39	45	63	51	25	44	0	215	0	2292	1	0	0	0	1	71	0	0	1	1	0	1	0	0
ASV_16	0	85	188	63	24	198	49	162	125	37	66	92	68	102	49	57	41	214	24	0	55	129	32	98	180	243	288	78	104	29	371	338	14	24
ASV_17	754	115	105	15	22	40	4	42	31	36	14	64	61	51	19	37	0	79	0	804	0	11	0	86	6	393	10	0	14	1	0	7	0	0
ASV_18	1	63	157	22	20	206	70	80	57	25	53	65	67	75	51	68	63	122	29	0	51	77	88	56	47	181	160	78	124	48	218	251	32	27
ASV_19	107	39	456	13	25	102	3	15	6	21	30	58	60	93	47	43	2	33	10	603	2	21	3	43	2	809	1	3	2	1	18	5	8	1
ASV_20	0	17	43	135	43	97	23	31	12	9	8	20	40	45	27	44	5	26	16	731	28	278	91	33	154	98	29	175	118	18	197	35	27	6
ASV_21	0	74	166	25	25	139	47	67	42	23	35	41	35	55	34	53	14	85	41	1	61	30	101	67	31	258	83	121	59	21	180	269	16	19
ASV_22	167	71	18	4	0	18	0	102	78	3	10	4	17	33	10	11	0	74	0	1248	0	0	1	39	4	167	3	7	0	0	93	11	0	0
ASV_23	248	41	104	57	9	18	2	9	11	28	16	25	23	55	27	51	2	12	10	579	0	151	0	3	164	455	4	4	16	2	13	8	21	4
ASV_24	0	19	8	17	175	113	10	10	18	25	30	65	28	6	15	60	19	15	14	324	19	57	88	33	138	388	53	24	38	16	24	51	36	36
ASV_25	0	127	167	102	52	59	0	11	3	46	25	24	66	27	15	21	2	6	8	0	2	285	2	7	116	439	40	15	105	12	19	16	66	6
ASV_26	219	21	67	69	14	18	1	12	1	14	14	36	21	57	24	43	2	20	11	454	0	134	3	1	113	443	2	8	18	6	9	6	17	4
ASV_27	156	0	1	2	96	221	0	38	3	4	20	61	120	65	14	0	2	1	14	417	1	1	30	6	2	180	25	161	20	12	120	46	17	26
ASV_28	0	0	9	5	19	305	1	84	29	51	73	123	144	144	75	117	4	103	3	0	0	19	14	76	7	0	8	130	8	2	255	17	39	6
ASV_29	74	13	10	20	104	31	22	11	13	8	5	14	12	19	10	10	24	19	12	319	10	85	41	23	50	69	14	311	72	30	153	94	116	20
ASV_30	0	47	115	36	23	100	46	52	41	14	27	36	39	41	27	35	22	67	44	0	50	67	50	30	65	1	171	70	71	32	108	166	23	38
ASV_31	424	72	96	7	12	24	3	23	27	24	13	50	31	29	16	19	0	37	0	509	0	6	0	52	2	253	6	0	7	1	0	4	0	0
